n,seed,method,ebits,cbits,recon_fidelity
8,19,Naive,12,24,0.6678769263662057
8,19,Spectral,4,8,0.6068561164473198
8,19,Louvain,4,8,0.6068561164473198
8,19,Girvan-Newman,4,8,0.6068561164473198
8,19,METIS,4,8,0.6068561164473198
8,19,qdislib,4,8,0.6068561164473198
8,19,PRISM-KL,4,8,0.6068561164473198
8,19,PRISM-OE,4,8,0.6068561164473198
8,19,PRISM-MI,4,8,0.7916354141473427
8,19,PRISM-BF,4,8,0.7916354141473427
8,19,PRISM-LCT,4,8,0.7916354141473427
8,23,Naive,6,12,0.8575010788881112
8,23,Spectral,4,8,0.9111831413976487
8,23,Louvain,4,8,0.9111831413976487
8,23,Girvan-Newman,4,8,0.9111831413976487
8,23,METIS,4,8,0.9111831413976487
8,23,qdislib,8,16,0.8122666385609707
8,23,PRISM-KL,4,8,0.9111831413976487
8,23,PRISM-OE,4,8,0.9064133607957321
8,23,PRISM-MI,4,8,0.9064133607957321
8,23,PRISM-BF,4,8,0.9064133607957321
8,23,PRISM-LCT,4,8,0.9064133607957321
10,19,Naive,26,52,0.6658869094710356
10,19,Spectral,4,8,0.9144524170129942
10,19,Louvain,4,8,0.9144524170129942
10,19,Girvan-Newman,4,8,0.9144524170129942
10,19,METIS,4,8,0.9144524170129942
10,19,qdislib,12,24,0.8230636668681571
10,19,PRISM-KL,4,8,0.9144524170129942
10,19,PRISM-OE,4,8,0.9144524170129942
10,19,PRISM-MI,4,8,0.9144524170129942
10,19,PRISM-BF,4,8,0.9144524170129942
10,19,PRISM-LCT,4,8,0.9144524170129942
10,23,Naive,26,52,0.6375842013938758
10,23,Spectral,10,20,0.8587805921598567
10,23,Louvain,10,20,0.8525487136103254
10,23,Girvan-Newman,10,20,0.8525487136103254
10,23,METIS,10,20,0.8587805921598567
10,23,qdislib,22,44,0.693544484236264
10,23,PRISM-KL,10,20,0.8525487136103254
10,23,PRISM-OE,10,20,0.8525487136103254
10,23,PRISM-MI,10,20,0.8525487136103254
10,23,PRISM-BF,10,20,0.8525487136103254
10,23,PRISM-LCT,10,20,0.8525487136103254
